NGSS Topic,"Subtopics: 
MATTER
FORCES
ENERGY
WAVES",Word,Definition,NEW  COLUMN - THREE RHYMES ONLY,Level of Difficulty,Number of Syllables,Broad Grade Level,SFUSD Grade
Phsyical,Forces,Newton,the energy needed to accelerate 1 kg at 1 m/s,"human, Houston, loosen",2,2,Middle School,
Physical,Matter,Odor,"An distinct, upleasant smell","toaster, Homer, smoker",2,2,Middle School,
Physical,Forces,Opposite,"Newton's third law: For every action, there is an equal and opposite reaction","complement, positive, causitive",3,3,Middle School,
Physical,Energy,Potential,The potential energy of an object is the stored energy due to what it's made of or its relation to other objects,"assemble, successful, presidential",3,3,Middle School,
Physical,Matter,Reaction,an action or feeling in response to an event,"the action, attraction, crashing,",3,3,Middle School,7
Physical,Waves,Reflect,"to throw back light, heat, or sound without absorbing it","eject, respect, detect",2,2,Middle School,
Physical,Energy,Roller Coaster,The thrill of acceleration on a roller coaster comes from Newton's second law,"over shoulder, solar toaster, broken motor",3,4,Middle School,
Physical,Matter,Salt,compound formed when negative ions from an acid combine with positive ions from a base.,"halt, fault, malt",1,1,Middle School,
Physical,Energy,Solar,relating to the sun,"soldier, polar, closer",2,2,Middle School,
Physical,Matter,Solid,firm and stable in shape,"called it, wallet, fallen",2,2,Middle School,
Physical,Matter,Soluble,"able to be dissolved, especially in water","logical, washable, volatile",3,3,Middle School,
Physical,Waves,Sound,vibrations that travel through the air that can be heard by a person's or animal's ear,"hound, ground, found",1,1,Middle School,
Physical,Energy,Speed,distance an object travels per unit of time.,"read, need, greed",1,1,Middle School,
Physical,Forces,Strength,the quality of being strong,"length, bank, rank",1,1,Middle School,
Physical,Matter,Sugar,a sweet crystalline substance obtained from various plants and consisting essentially of sucrose,"booger, fuller, butcher",2,2,Middle School,
Phsyical,Forces,Sum,"an amount resulting from the addition of two or more items, numbers, or amounts ","dumb, thumb, one",1,1,Middle School,
Physical,Matter,Synthetic,"describes polymers, such as plastics, adhesives, and surface coatings, that are made from hydrocarbons.","cosmetics, genetics, prosthetic",3,3,Middle School,
Physical,Energy,System,connected things that form a complex whole,"mission, piston, rhythm",2,2,Middle School,
Physical,"Matter, Energy",Temperature,measure of the average kinetic energy of all the particles in an object.,"cellular, predator, molecular",3,3,Middle School,6
Physical,Matter,Thermal,relating to heat,"dermal, hurtful, journal",2,2,Middle School,6
Phsyical,Forces,Laws,a system of rules that governs actions,"cause, claws, Jaws",1,2,Middle School,
Physical,Energy,Transfer,movement from one place to another,"answer, cancer, after",2,2,Middle School,
Physical,Matter,Water,"a transparent, colorless, odorless, tasteless liquid that forms the basis of life","otter, Potter, blotter",2,2,Middle School,
Physical,Waves,Wave,a repeating disturbance or movement that transfers energy through matter or space.,"save, brave, cave",1,2,Middle School,
Physical,Waves,Wavelength,distance between one point on a wave and the nearest point just like it.,"gave Thanks, made rank, gain strength",3,2,Middle School,
Phsyical,Forces,Wire,"metal in the form of a thin, flexible thread or rod","fire, hire, dryer",1,1,Middle School,
